iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
NYC,New York,United States,40.7142,-74.0058,31.0,-5.0,A,1.0
QSF,San Francisco,United States,,,,-8.0,,1.0
CHI,Chicago,United States,41.8836,-87.6317,596.0,-6.0,A,1.0
PAR,Paris,France,48.8564,2.35222,107.0,1.0,E,1.0
WAS,Washington,United States,38.8894,-77.0353,25.0,-5.0,A,1.0
LON,London,United Kingdom,51.5081,-0.127778,66.0,0.0,E,1.0
DFW,Dallas,United States,,,,-6.0,,1.0
HOU,Houston,United States,,,,-6.0,,1.0
BER,Berlin,Germany,,,,1.0,,1.0
MOW,Moscow,Russia,,,,3.0,,1.0
IST,Istanbul,Turkey,,,,2.0,,1.0
DUS,Duesseldorf,Germany,,,,1.0,,1.0
FRA,Frankfurt,Germany,,,,1.0,,1.0
GLA,Glasgow,United Kingdom,,,,0.0,,1.0
BFS,Belfast,United Kingdom,,,,0.0,,1.0
BRU,Brussels,Belgium,,,,1.0,,1.0
ROM,Rome,Italy,,,,1.0,,1.0
MIL,Milan,Italy,,,,1.0,,1.0
STO,Stockholm,Sweden,,,,1.0,,1.0
OSL,Oslo,Norway,,,,1.0,,1.0
WAW,Warsaw,Poland,,,,1.0,,1.0
TCI,Tenerife,Spain,,,,0.0,,1.0
IEV,Kiev,Ukraine,,,,2.0,,1.0
ATL,Atlanta,United States,33.6367,-84.4281,1026.0,-5.0,A,0.0
TPA,Tampa,United States,,,,-5.0,,1.0
MIA,Miami,United States,,,,-5.0,,1.0
DEN,Denver,United States,39.8617,-104.673,5431.0,-7.0,A,0.0
OSA,Osaka,Japan,,,,9.0,,1.0
BOS,Boston,United States,42.3643,-71.0052,19.0,-5.0,A,0.0
LAX,Los Angeles,United States,33.9425,-118.408,126.0,-8.0,A,0.0
QLA,Los Angeles Metro Area,United States,,,,-8.0,,1.0
ORL,Orlando,United States,,,,-5.0,,1.0
LAS,Las Vegas,United States,36.0801,-115.152,2141.0,-8.0,A,0.0
DFW,Dallas-Fort Worth,United States,32.8968,-97.038,607.0,-6.0,A,0.0
RIO,Rio de Janeiro,Brazil,,,,-2.0,,1.0
SAO,São Paulo,Brazil,,,,-3.0,,1.0
JFK,New York,United States,40.6398,-73.7789,13.0,-5.0,A,0.0
EWR,Newark,United States,40.6925,-74.1687,18.0,-5.0,A,0.0
ANK,Ankara,Turkey,,,,2.0,,1.0
SEL,Seoul,South Korea,,,,9.0,,1.0
IAD,Washington,United States,38.9445,-77.4558,313.0,-5.0,A,0.0
DCA,Washington,United States,38.8521,-77.0377,15.0,-5.0,A,0.0
LGA,New York,United States,40.7772,-73.8726,22.0,-5.0,A,0.0
BUE,Buenos Aires,Argentina,,,,-3.0,,1.0
MCO,Orlando,United States,28.4294,-81.309,96.0,-5.0,A,0.0
BJS,Beijing,China,,,,8.0,,1.0
MIA,Miami,United States,25.7932,-80.2906,8.0,-5.0,A,0.0
BUH,Bucharest,Romania,,,,2.0,,1.0
DTW,Detroit,United States,42.2124,-83.3534,645.0,-5.0,A,0.0
JKT,Jakarta,Indonesia,,,,7.0,,1.0
JNB,Johannesburg,South Africa,,,,2.0,,1.0
HNL,Honolulu,United States,21.3187,-157.922,13.0,-10.0,N,0.0
KUL,Kuala Lumpur,Malaysia,,,,8.0,,1.0
AUS,Austin,United States,30.1945,-97.6699,542.0,-6.0,A,0.0
ORD,Chicago,United States,41.9786,-87.9048,668.0,-6.0,A,0.0
PHX,Phoenix,United States,,,,-7.0,,1.0
BNA,Nashville,United States,36.1245,-86.6782,599.0,-6.0,A,0.0
TYO,Tokyo,Japan,,,,9.0,,1.0
YTO,Toronto,Canada,,,,-5.0,,1.0
CLT,Charlotte,United States,35.214,-80.9431,748.0,-5.0,A,0.0
IAH,Houston,United States,29.9844,-95.3414,97.0,-6.0,A,0.0
MSP,Minneapolis,United States,44.882,-93.2218,841.0,-6.0,A,0.0
PHX,Phoenix,United States,33.4343,-112.012,1135.0,-7.0,N,0.0
YVR,Vancouver,Canada,,,,-8.0,,1.0
DAL,Dallas,United States,32.8471,-96.8518,487.0,-6.0,A,0.0
VCE,Venice,Italy,,,,1.0,,1.0
BWI,Baltimore,United States,39.1754,-76.6683,146.0,-5.0,A,0.0
BKK,Bangkok,Thailand,,,,7.0,,1.0
BDL,Windsor Locks,United States,41.9389,-72.6832,173.0,-5.0,A,0.0
SPK,Sapporo,Japan,,,,9.0,,1.0
MDW,Chicago,United States,41.786,-87.7524,620.0,-6.0,A,0.0
REK,Reykjavik,Iceland,,,,0.0,,1.0
CMH,Columbus,United States,39.998,-82.8919,815.0,-5.0,A,0.0
CLE,Cleveland,United States,41.4117,-81.8498,791.0,-5.0,A,0.0
HOU,Houston,United States,29.6454,-95.2789,46.0,-6.0,A,0.0
ABQ,Albuquerque,United States,35.0402,-106.609,5355.0,-7.0,A,0.0
SAN,San Diego,United States,32.7336,-117.19,17.0,-8.0,A,0.0
PDX,Portland,United States,45.5887,-122.598,30.0,-8.0,A,0.0
PHL,Philadelphia,United States,39.8719,-75.2411,36.0,-5.0,A,0.0
BUF,Buffalo,United States,42.9405,-78.7322,724.0,-5.0,A,0.0
OAK,Oakland,United States,37.7213,-122.221,9.0,-8.0,A,0.0
IND,Indianapolis,United States,39.7173,-86.2944,797.0,-5.0,A,0.0
MCI,Kansas City,United States,39.2976,-94.7139,1026.0,-6.0,A,0.0
BUR,Burbank,United States,34.2007,-118.359,778.0,-8.0,A,0.0
SEA,Seattle,United States,47.449,-122.309,433.0,-8.0,A,0.0
CVG,Cincinnati,United States,39.0488,-84.6678,896.0,-5.0,A,0.0
FLL,Fort Lauderdale,United States,26.0726,-80.1527,9.0,-5.0,A,0.0
ANC,Anchorage,United States,61.1744,-149.996,152.0,-9.0,A,0.0
JAX,Jacksonville,United States,30.4941,-81.6879,30.0,-5.0,A,0.0
BOI,Boise,United States,43.5644,-116.223,2871.0,-7.0,A,0.0
BHM,Birmingham,United States,33.5629,-86.7535,644.0,-6.0,A,0.0
ALB,Albany,United States,42.7483,-73.8017,285.0,-5.0,A,0.0
MKE,Milwaukee,United States,42.9472,-87.8966,723.0,-6.0,A,0.0
CHS,Charleston,United States,32.8986,-80.0405,45.0,-5.0,A,0.0
MSY,New Orleans,United States,29.9934,-90.258,4.0,-6.0,A,0.0
GEG,Spokane,United States,47.6199,-117.534,2376.0,-8.0,A,0.0
ONT,Ontario,United States,34.056,-117.601,944.0,-8.0,A,0.0
LGB,Long Beach,United States,33.8177,-118.152,60.0,-8.0,A,0.0
ELP,El Paso,United States,31.8072,-106.378,3958.0,-7.0,A,0.0
DAY,Dayton,United States,39.9024,-84.2194,1009.0,-5.0,A,0.0
SFO,San Francisco,United States,37.619,-122.375,13.0,-8.0,A,0.0
DSM,Des Moines,United States,41.534,-93.6631,958.0,-6.0,A,0.0
OGG,Kahului,United States,20.8986,-156.43,54.0,-10.0,N,0.0
PIT,Pittsburgh,United States,40.4915,-80.2329,1204.0,-5.0,A,0.0
RDU,Raleigh-durham,United States,35.8776,-78.7875,435.0,-5.0,A,0.0
GRR,Grand Rapids,United States,42.8808,-85.5228,794.0,-5.0,A,0.0
OMA,Omaha,United States,41.3032,-95.8941,984.0,-6.0,A,0.0
CAK,Akron,United States,40.9161,-81.4422,1228.0,-5.0,A,0.0
AZA,Mesa,United States,33.3078,-111.655,1382.0,-7.0,N,0.0
BTV,Burlington,United States,44.4719,-73.1533,335.0,-5.0,A,0.0
MEM,Memphis,United States,35.0424,-89.9767,341.0,-6.0,A,0.0
ACY,Atlantic City,United States,39.4576,-74.5772,75.0,-5.0,A,0.0
GSP,Greenville,United States,34.8956,-82.2189,964.0,-5.0,A,0.0
BLI,Bellingham,United States,48.7927,-122.538,170.0,-8.0,A,0.0
KOA,Kona,United States,19.7388,-156.046,47.0,-10.0,N,0.0
OKC,Oklahoma City,United States,35.3931,-97.6007,1295.0,-6.0,A,0.0
COS,Colorado Springs,United States,38.8058,-104.701,6187.0,-7.0,A,0.0
GSO,Greensboro,United States,36.0978,-79.9373,925.0,-5.0,A,0.0
SAT,San Antonio,United States,29.5337,-98.4698,809.0,-6.0,A,0.0
HPN,White Plains,United States,41.067,-73.7076,439.0,-5.0,A,0.0
ISP,Islip,United States,40.7952,-73.1002,99.0,-5.0,A,0.0
LIH,Lihue,United States,21.976,-159.339,153.0,-10.0,N,0.0
SJC,San Jose,United States,37.3626,-121.929,62.0,-8.0,A,0.0
MEX,Mexico City,Mexico,,,,-6.0,,1.0
PBI,West Palm Beach,United States,26.6832,-80.0956,19.0,-5.0,A,0.0
MEL,Melbourne,Australia,,,,11.0,,1.0
FAT,Fresno,United States,36.7762,-119.718,336.0,-8.0,A,0.0
MHT,Manchester NH,United States,42.9326,-71.4357,266.0,-5.0,A,0.0
PTY,Panama City,Panama,,,,-5.0,,1.0
DTT,Detroit,United States,,,,,,1.0
CAE,Columbia,United States,33.9388,-81.1195,236.0,-5.0,A,0.0
CID,Cedar Rapids,United States,41.8847,-91.7108,869.0,-6.0,A,0.0
ICT,Wichita,United States,37.6499,-97.4331,1333.0,-6.0,A,0.0
LIT,Little Rock,United States,34.7294,-92.2243,262.0,-6.0,A,0.0
ORF,Norfolk,United States,36.8946,-76.2012,26.0,-5.0,A,0.0
BZN,Bozeman,United States,45.7776,-111.16,4500.0,-7.0,A,0.0
AMA,Amarillo,United States,35.2194,-101.706,3607.0,-6.0,A,0.0
SMF,Sacramento,United States,38.6954,-121.591,27.0,-8.0,A,0.0
PVD,Providence,United States,41.7326,-71.4204,55.0,-5.0,A,0.0
AVL,Asheville,United States,35.4362,-82.5418,2165.0,-5.0,A,0.0
RNO,Reno,United States,39.4991,-119.768,4415.0,-8.0,A,0.0
BIL,Billings,United States,45.8092,-108.538,3652.0,-7.0,A,0.0
BTR,Baton Rouge,United States,30.5332,-91.1496,70.0,-6.0,A,0.0
EUG,Eugene,United States,44.1246,-123.212,374.0,-8.0,A,0.0
SLC,Salt Lake City,United States,40.7884,-111.978,4227.0,-7.0,A,0.0
FSD,Sioux Falls,United States,43.582,-96.7419,1429.0,-6.0,A,0.0
CHA,Chattanooga,United States,35.0353,-85.2038,683.0,-5.0,A,0.0
ABE,Allentown,United States,40.6521,-75.4408,393.0,-5.0,A,0.0
LEX,Lexington KY,United States,38.0365,-84.6059,979.0,-5.0,A,0.0
FNT,Flint,United States,42.9654,-83.7436,782.0,-5.0,A,0.0
CRP,Corpus Christi,United States,27.7704,-97.5012,44.0,-6.0,A,0.0
MSN,Madison,United States,43.1399,-89.3375,887.0,-6.0,A,0.0
HSV,Huntsville,United States,34.6372,-86.7751,629.0,-6.0,A,0.0
MDT,Harrisburg,United States,40.1935,-76.7634,310.0,-5.0,A,0.0
FAR,Fargo,United States,46.9207,-96.8158,902.0,-6.0,A,0.0
JAN,Jackson,United States,32.3112,-90.0759,346.0,-6.0,A,0.0
AGS,Bush Field,United States,33.3699,-81.9645,144.0,-5.0,A,0.0
PSP,Palm Springs,United States,33.8297,-116.507,477.0,-8.0,A,0.0
RIC,Richmond,United States,37.5052,-77.3197,167.0,-5.0,A,0.0
RSW,Fort Myers,United States,26.5362,-81.7552,30.0,-5.0,A,0.0
BGR,Bangor,United States,44.8074,-68.8281,192.0,-5.0,A,0.0
SJU,San Juan,Puerto Rico,18.4394,-66.0018,9.0,-4.0,U,0.0
EYW,Key West,United States,24.5561,-81.7596,3.0,-5.0,A,0.0
ILM,Wilmington,United States,34.2706,-77.9026,32.0,-5.0,A,0.0
ECP,Panama City,United States,30.3417,-85.7973,69.0,-6.0,A,0.0
FWA,Fort Wayne,United States,40.9785,-85.1951,815.0,-5.0,A,0.0
ROC,Rochester,United States,43.1189,-77.6724,559.0,-5.0,A,0.0
ASE,Aspen,United States,39.2232,-106.869,7820.0,-7.0,A,0.0
ATW,Appleton,United States,44.2575,-88.5076,680.0,-6.0,A,0.0
DAB,Daytona Beach,United States,29.1799,-81.0581,34.0,-5.0,A,0.0
BQN,Aguadilla,Puerto Rico,18.4949,-67.1294,237.0,-4.0,U,0.0
SDF,Louisville,United States,38.1741,-85.7365,501.0,-5.0,A,0.0
MYR,Myrtle Beach,United States,33.6797,-78.9283,25.0,-5.0,A,0.0
AVP,Scranton,United States,41.3385,-75.7234,962.0,-5.0,A,0.0
BIS,Bismarck,United States,46.7758,-100.758,1661.0,-6.0,A,0.0
CHO,Charlottesville VA,United States,38.1386,-78.4529,639.0,-5.0,A,0.0
TPA,Tampa,United States,27.9755,-82.5332,26.0,-5.0,A,0.0
STL,St. Louis,United States,38.7487,-90.37,618.0,-6.0,A,0.0
BMI,Bloomington,United States,40.4771,-88.9159,871.0,-6.0,A,0.0
CRW,Charleston,United States,38.3731,-81.5932,981.0,-5.0,A,0.0
GRB,Green Bay,United States,44.4851,-88.1296,695.0,-6.0,A,0.0
SFB,Sanford,United States,28.7776,-81.2375,55.0,-5.0,A,0.0
FAI,Fairbanks,United States,64.8151,-147.856,434.0,-9.0,A,0.0
GPT,Gulfport,United States,30.4073,-89.0701,28.0,-6.0,A,0.0
PWM,Portland,United States,43.6462,-70.3093,77.0,-5.0,A,0.0
FAY,Fayetteville,United States,34.9912,-78.8803,189.0,-5.0,A,0.0
FCA,Kalispell,United States,48.3105,-114.256,2977.0,-7.0,A,0.0
JAC,Jacksn Hole,United States,43.6073,-110.738,6451.0,-7.0,A,0.0
GJT,Grand Junction,United States,39.1224,-108.527,4858.0,-7.0,A,0.0
MLI,Moline,United States,41.4485,-90.5075,590.0,-6.0,A,0.0
LBB,Lubbock,United States,33.6636,-101.823,3282.0,-6.0,A,0.0
HRL,Harlingen,United States,26.2285,-97.6544,36.0,-6.0,A,0.0
MFR,Medford,United States,42.3742,-122.873,1335.0,-8.0,A,0.0
ITO,Hilo,United States,19.7214,-155.048,38.0,-10.0,N,0.0
BFL,Bakersfield,United States,35.4336,-119.057,507.0,-8.0,A,0.0
MSO,Missoula,United States,46.9163,-114.091,3205.0,-7.0,A,0.0
PNS,Pensacola,United States,30.4734,-87.1866,121.0,-6.0,A,0.0
EAP,Freiburg,Germany,,,,1.0,,1.0
AEX,Alexandria,United States,31.3274,-92.5498,89.0,-6.0,A,0.0
DRO,Durango,United States,37.1515,-107.754,6685.0,-7.0,A,0.0
JNU,Juneau,United States,58.355,-134.576,21.0,-9.0,A,0.0
MAF,Midland,United States,31.9425,-102.202,2871.0,-6.0,A,0.0
SNA,Santa Ana,United States,33.6757,-117.868,56.0,-8.0,A,0.0
BKG,Branson,United States,36.532,-93.2006,1302.0,-6.0,A,0.0
PGD,Punta Gorda,United States,26.9197,-81.9906,26.0,-5.0,A,0.0
LAN,Lansing,United States,42.7787,-84.5874,861.0,-5.0,A,0.0
DLH,Duluth,United States,46.8421,-92.1936,1428.0,-6.0,A,0.0
GTF,Great Falls,United States,47.482,-111.371,3677.0,-7.0,A,0.0
EGE,Vail,United States,39.6426,-106.918,6540.0,-7.0,A,0.0
AZO,Kalamazoo,United States,42.2349,-85.5521,874.0,-5.0,A,0.0
GNV,Gainesville,United States,29.6901,-82.2718,152.0,-5.0,A,0.0
ELM,Elmira,United States,42.1599,-76.8916,954.0,-5.0,A,0.0
EVV,Evansville,United States,38.037,-87.5324,418.0,-6.0,A,0.0
MFE,Mcallen,United States,26.1758,-98.2386,107.0,-6.0,A,0.0
GFK,Grand Forks,United States,47.9493,-97.1761,845.0,-6.0,A,0.0
LFT,Lafayette,United States,30.2053,-91.9876,43.0,-6.0,A,0.0
PSC,Pasco,United States,46.2647,-119.119,410.0,-8.0,A,0.0
GRK,Killeen,United States,31.0672,-97.8289,1015.0,-6.0,A,0.0
MOB,Mobile,United States,30.6912,-88.2428,219.0,-6.0,A,0.0
CWA,Wassau,United States,44.7727,-89.6466,840.0,-6.0,A,0.0
ABI,Abilene,United States,32.4113,-99.6819,1791.0,-6.0,A,0.0
SAV,Savannah,United States,32.1276,-81.2021,51.0,-5.0,A,0.0
CPR,Casper,United States,42.908,-106.464,5347.0,-7.0,A,0.0
EWN,New Bern,United States,35.073,-77.0429,18.0,-5.0,A,0.0
HTS,Huntington,United States,38.3667,-82.558,828.0,-5.0,A,0.0
IDA,Idaho Falls,United States,43.5146,-112.071,4744.0,-7.0,A,0.0
LBE,Latrobe,United States,40.2759,-79.4048,1185.0,-5.0,A,0.0
RDM,Redmond-Bend,United States,44.2541,-121.15,3077.0,-8.0,A,0.0
BGM,Binghamton,United States,42.2087,-75.9798,1636.0,-5.0,A,0.0
MRY,Monterey,United States,36.587,-121.843,257.0,-8.0,A,0.0
BRO,Brownsville,United States,25.9068,-97.4259,22.0,-6.0,A,0.0
IAG,Niagara Falls,United States,43.1073,-78.9462,589.0,-5.0,A,0.0
ILG,Wilmington,United States,39.6787,-75.6065,79.0,-5.0,A,0.0
PIE,St. Petersburg,United States,27.9102,-82.6874,10.0,-5.0,A,0.0
SBA,Santa Barbara,United States,34.4262,-119.84,10.0,-8.0,A,0.0
ERI,Erie,United States,42.082,-80.1762,733.0,-5.0,A,0.0
PIA,Peoria,United States,40.6642,-89.6933,660.0,-6.0,A,0.0
CMI,Champaign,United States,40.0392,-88.2781,754.0,-6.0,A,0.0
PHF,Newport News,United States,37.1319,-76.493,43.0,-5.0,A,0.0
CLL,College Station,United States,30.5886,-96.3638,321.0,-6.0,A,0.0
MLB,Melbourne,United States,28.1028,-80.6453,33.0,-5.0,A,0.0
ACT,Waco,United States,31.6113,-97.2305,516.0,-6.0,A,0.0
MBS,Saginaw,United States,43.5329,-84.0796,668.0,-5.0,A,0.0
ROA,Roanoke VA,United States,37.3255,-79.9754,1175.0,-5.0,A,0.0
LNK,Lincoln,United States,40.851,-96.7592,1219.0,-6.0,A,0.0
MOT,Minot,United States,48.2594,-101.28,1716.0,-6.0,A,0.0
HLN,Helena,United States,46.6068,-111.983,3877.0,-7.0,A,0.0
OAJ,Jacksonville NC,United States,34.8292,-77.6121,94.0,-5.0,A,0.0
HDN,Hayden,United States,40.4812,-107.218,6602.0,-7.0,A,0.0
KTN,Ketchikan,United States,55.3556,-131.714,88.0,-9.0,A,0.0
PBG,Plattsburgh,United States,44.6509,-73.4681,234.0,-5.0,A,0.0
ACV,Arcata CA,United States,40.9781,-124.109,221.0,-8.0,A,0.0
ITH,Ithaca,United States,42.491,-76.4584,1099.0,-5.0,A,0.0
CLD,Carlsbad,United States,33.0742,-117.165,328.0,-8.0,A,0.0
ISN,Williston,United States,48.1779,-103.642,1982.0,-7.0,A,0.0
FSM,Fort Smith,United States,35.3366,-94.3674,469.0,-6.0,A,0.0
MGM,Montgomery,United States,32.3006,-86.394,221.0,-6.0,A,0.0
SBN,South Bend,United States,41.7087,-86.3173,799.0,-5.0,A,0.0
ACK,Nantucket,United States,41.2531,-70.0602,48.0,-5.0,A,0.0
FLG,Flagstaff,United States,35.1403,-111.669,7015.0,-7.0,N,0.0
RAP,Rapid City,United States,44.0453,-103.057,3204.0,-7.0,A,0.0
ADQ,Kodiak,United States,57.75,-152.494,78.0,-9.0,A,0.0
LSE,La Crosse,United States,43.879,-91.2567,654.0,-6.0,A,0.0
GUM,Agana,Guam,13.4834,144.796,298.0,10.0,U,0.0
EAT,Wenatchee,United States,47.398,-120.206,1249.0,-8.0,A,0.0
IFP,Bullhead,United States,35.1574,-114.56,695.0,-7.0,A,0.0
SYR,Syracuse,United States,43.1112,-76.1063,421.0,-5.0,A,0.0
FLO,Florence,United States,34.1854,-79.7239,146.0,-5.0,A,0.0
LYH,Lynchburg,United States,37.3267,-79.2004,938.0,-5.0,A,0.0
MLU,Monroe,United States,32.5109,-92.0377,79.0,-6.0,A,0.0
BPT,Beaumont,United States,29.9508,-94.0207,15.0,-6.0,A,0.0
COU,Columbia,United States,38.8181,-92.2196,889.0,-6.0,A,0.0
DHN,Dothan,United States,31.3213,-85.4496,401.0,-6.0,A,0.0
HHH,Hilton Head,United States,32.216,-80.752,10.0,-5.0,U,0.0
DIK,Dickinson,United States,46.7975,-102.802,2592.0,-5.0,A,0.0
ALW,Walla Walla,United States,46.0949,-118.288,1191.0,-8.0,A,0.0
CSG,Columbus,United States,32.5163,-84.9389,397.0,-5.0,A,0.0
LCH,Lake Charles,United States,30.1261,-93.2233,15.0,-6.0,A,0.0
LRD,Laredo,United States,27.5438,-99.4616,508.0,-6.0,A,0.0
LCK,Columbus,United States,39.8138,-82.9278,744.0,-5.0,A,0.0
GRI,Grand Island,United States,40.9675,-98.3096,1847.0,-6.0,A,0.0
LAW,Lawton,United States,34.5677,-98.4166,1110.0,-6.0,A,0.0
ABY,Albany,United States,31.5355,-84.1945,197.0,-5.0,A,0.0
LWS,Lewiston,United States,46.3745,-117.015,1442.0,-8.0,A,0.0
SBP,San Luis Obispo,United States,35.2368,-120.642,212.0,-8.0,A,0.0
DBQ,Dubuque IA,United States,42.402,-90.7095,1076.0,-6.0,A,0.0
BTM,Butte,United States,45.9548,-112.497,5550.0,-7.0,A,0.0
CMX,Hancock,United States,47.1684,-88.4891,1095.0,-5.0,A,0.0
SGF,Springfield,United States,37.2457,-93.3886,1268.0,-6.0,A,0.0
COD,Cody,United States,44.5202,-109.024,5102.0,-7.0,A,0.0
PUW,Pullman,United States,46.7439,-117.11,2556.0,-8.0,A,0.0
MTJ,Montrose CO,United States,38.5098,-107.894,5759.0,-7.0,A,0.0
MHK,Manhattan,United States,39.141,-96.6708,1057.0,-6.0,A,0.0
BQK,Brunswick,United States,31.2588,-81.4665,26.0,-5.0,A,0.0
ABR,Aberdeen,United States,45.4491,-98.4218,1302.0,-6.0,A,0.0
SHV,Shreveport,United States,32.4466,-93.8256,258.0,-6.0,A,0.0
HVN,New Haven,United States,41.2637,-72.8868,14.0,-5.0,A,0.0
GTR,Columbus Mississippi,United States,33.4503,-88.5914,264.0,-6.0,A,0.0
RFD,Rockford,United States,42.1954,-89.0972,742.0,-6.0,A,0.0
CIC,Chico,United States,39.7954,-121.858,238.0,-8.0,A,0.0
GCC,Gillette,United States,44.3489,-105.539,4365.0,-7.0,A,0.0
SCE,State College Pennsylvania,United States,40.8493,-77.8487,1239.0,-5.0,A,0.0
ALO,Waterloo,United States,42.5571,-92.4003,873.0,-6.0,A,0.0
SGU,Saint George,United States,37.0906,-113.593,2941.0,-7.0,A,0.0
ART,Watertown,United States,43.9919,-76.0217,325.0,-5.0,A,0.0
EAU,Eau Claire,United States,44.8658,-91.4843,913.0,-6.0,A,0.0
BJI,Bemidji,United States,47.5107,-94.9347,1391.0,-6.0,A,0.0
OWB,Owensboro,United States,37.7401,-87.1668,406.0,-6.0,A,0.0
CIU,Sault Ste Marie,United States,46.2508,-84.4724,800.0,-5.0,A,0.0
DUT,Unalaska,United States,53.9001,-166.544,22.0,-9.0,A,0.0
GUC,Gunnison,United States,38.5339,-106.933,7678.0,-7.0,A,0.0
STT,St. Thomas,U.S. Virgin Islands,18.3373,-64.9734,23.0,-4.0,U,0.0
SRQ,Sarasota,United States,27.3954,-82.5544,30.0,-5.0,A,0.0
MQT,Marquette,United States,46.3536,-87.3953,1221.0,-5.0,A,0.0
RST,Rochester,United States,43.9083,-92.5,1317.0,-6.0,A,0.0
IPT,Williamsport,United States,41.2418,-76.9211,529.0,-5.0,A,0.0
PGV,Greenville,United States,35.6353,-77.3853,27.0,-5.0,A,0.0
GGG,Longview,United States,32.384,-94.7115,365.0,-6.0,A,0.0
GCK,Garden City,United States,37.9275,-100.724,2891.0,-6.0,A,0.0
CEC,Crescent City,United States,41.7802,-124.237,57.0,-8.0,A,0.0
BLV,Belleville,United States,38.5452,-89.8352,459.0,-6.0,A,0.0
CKB,Clarksburg,United States,39.2966,-80.2281,1217.0,-5.0,A,0.0
BRD,Brainerd,United States,46.3983,-94.1381,1226.0,-6.0,U,0.0
HGR,Hagerstown,United States,39.7079,-77.7295,704.0,-5.0,A,0.0
HOB,Hobbs,United States,32.6875,-103.217,3661.0,-7.0,A,0.0
JLN,Joplin,United States,37.1518,-94.4983,981.0,-6.0,A,0.0
BRW,Barrow,United States,71.2854,-156.766,44.0,-9.0,A,0.0
TUS,Tucson,United States,32.1161,-110.941,2643.0,-7.0,N,0.0
PSM,Portsmouth,United States,43.0779,-70.8233,100.0,-5.0,A,0.0
AKN,King Salmon,United States,58.6768,-156.649,68.0,-9.0,A,0.0
TUL,Tulsa,United States,36.1984,-95.8881,677.0,-6.0,A,0.0
RDD,Redding,United States,40.509,-122.293,504.0,-8.0,A,0.0
EKO,Elko,United States,40.8249,-115.792,5140.0,-8.0,A,0.0
MMH,Mammoth Lakes,United States,37.6241,-118.838,7128.0,-8.0,A,0.0
CDC,Cedar City,United States,37.701,-113.099,5622.0,-7.0,A,0.0
LMT,Klamath Falls,United States,42.1561,-121.733,4095.0,-8.0,A,0.0
ESC,Escanaba,United States,45.7228,-87.0936,609.0,-5.0,A,0.0
APN,Alpena,United States,45.0781,-83.5603,689.0,-5.0,A,0.0
MKG,Muskegon,United States,43.1695,-86.2382,628.0,-5.0,A,0.0
ENA,Kenai,United States,60.5731,-151.245,99.0,-9.0,A,0.0
LAR,Laramie,United States,41.3121,-105.675,7284.0,-7.0,A,0.0
BET,Bethel,United States,60.7798,-161.838,121.0,-9.0,A,0.0
SAF,Santa Fe,United States,35.6171,-106.089,6348.0,-7.0,A,0.0
OTH,North Bend,United States,43.4171,-124.246,17.0,-8.0,A,0.0
SBY,Salisbury,United States,38.3405,-75.5103,52.0,-5.0,A,0.0
HIB,Hibbing,United States,47.3866,-92.839,1353.0,-6.0,A,0.0
PIH,Pocatello,United States,42.9098,-112.596,4452.0,-7.0,A,0.0
INL,International Falls,United States,48.5662,-93.4031,1185.0,-6.0,A,0.0
CDV,Cordova,United States,60.4918,-145.478,48.0,-9.0,A,0.0
PLN,Pellston,United States,45.5709,-84.7967,720.0,-5.0,A,0.0
SJT,San Angelo,United States,31.3577,-100.496,1919.0,-6.0,A,0.0
MOD,Modesto,United States,37.6258,-120.954,97.0,-8.0,A,0.0
PSG,Petersburg,United States,56.8017,-132.945,105.0,-9.0,A,0.0
IMT,Iron Mountain,United States,45.8184,-88.1146,1182.0,-5.0,A,0.0
FOE,Topeka,United States,38.9509,-95.6636,1078.0,-6.0,A,0.0
PAH,Paducah,United States,37.0603,-88.773,410.0,-6.0,A,0.0
EAR,Kearney,United States,40.727,-99.0068,2131.0,-6.0,A,0.0
CYS,Cheyenne,United States,41.1557,-104.812,6156.0,-7.0,A,0.0
ROW,Roswell,United States,33.3016,-104.531,3671.0,-7.0,A,0.0
DLG,Dillingham,United States,59.0447,-158.505,74.0,-9.0,A,0.0
STX,St. Croix Island,U.S. Virgin Islands,17.7019,-64.7986,74.0,-4.0,U,0.0
HOM,Homer,United States,59.6456,-151.477,84.0,-9.0,A,0.0
SWF,Newburgh,United States,41.5041,-74.1048,491.0,-5.0,A,0.0
RHI,Rhinelander,United States,45.6312,-89.4675,1624.0,-6.0,A,0.0
TLH,Tallahassee,United States,30.3965,-84.3503,81.0,-5.0,A,0.0
BFF,Scottsbluff,United States,41.874,-103.596,3967.0,-7.0,A,0.0
FMN,Farmington,United States,36.7412,-108.23,5506.0,-7.0,A,0.0
TTN,Trenton,United States,40.2767,-74.8135,213.0,-5.0,A,0.0
CNY,Moab,United States,38.755,-109.755,4555.0,-7.0,A,0.0
ALS,Alamosa,United States,37.435,-105.867,7539.0,-7.0,A,0.0
SIT,Sitka,United States,57.0471,-135.362,21.0,-9.0,A,0.0
RKS,Rock Springs,United States,41.5942,-109.065,6760.0,-7.0,A,0.0
OME,Nome,United States,64.5122,-165.445,37.0,-9.0,A,0.0
PPG,Pago Pago,American Samoa,-14.331,-170.71,32.0,-11.0,U,0.0
SPS,Wichita Falls,United States,33.9888,-98.4919,1019.0,-6.0,A,0.0
