iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
SZX,Shenzhen,China,22.6393,113.811,13.0,8.0,U,0.0
KKJ,Kitakyushu,Japan,33.8459,131.035,21.0,9.0,U,0.0
PEE,Perm,Russia,57.9145,56.0212,404.0,6.0,N,0.0
SXR,Srinagar,India,33.9871,74.7742,5429.0,5.0,N,0.0
GUA,Guatemala City,Guatemala,14.5833,-90.5275,4952.0,-6.0,U,0.0
MDZ,Mendoza,Argentina,-32.8317,-68.7929,2310.0,-3.0,N,0.0
YYC,Calgary,Canada,51.1139,-114.02,3557.0,-7.0,A,0.0
PLZ,Port Elizabeth,South Africa,-33.9849,25.6173,226.0,2.0,U,0.0
MCZ,Maceio,Brazil,-9.51081,-35.7917,387.0,-3.0,S,0.0
CTG,Cartagena,Colombia,10.4424,-75.513,4.0,-5.0,U,0.0
CZX,Changzhou,China,31.9417,119.712,39.0,8.0,U,0.0
IXR,Ranchi,India,23.3143,85.3217,2148.0,5.0,N,0.0
ROB,Monrovia,Liberia,6.23379,-10.3623,31.0,0.0,N,0.0
JDH,Jodhpur,India,26.2511,73.0489,717.0,5.0,N,0.0
SLZ,Sao Luis,Brazil,-2.58536,-44.2341,178.0,-3.0,S,0.0
IXC,Chandigarh,India,30.6735,76.7885,1012.0,5.0,N,0.0
IXM,Madurai,India,9.83451,78.0934,459.0,5.0,N,0.0
KJA,Krasnoyarsk,Russia,56.18,92.475,940.0,8.0,N,0.0
CBB,Cochabamba,Bolivia,-17.4211,-66.1771,8360.0,-4.0,U,0.0
GAU,Guwahati,India,26.1061,91.5859,162.0,5.0,N,0.0
BUQ,Bulawayo,Zimbabwe,-20.0174,28.6179,4359.0,2.0,U,0.0
GWL,Gwalior,India,26.2933,78.2278,617.0,5.0,N,0.0
NDG,Qiqihar,China,47.2396,123.918,477.0,8.0,U,0.0
KYA,Konya,Turkey,37.979,32.5619,3381.0,2.0,E,0.0
MJM,Mbuji-mayi,Congo - Kinshasa,-6.12124,23.569,2221.0,2.0,U,0.0
VGA,Vijayawada,India,16.5304,80.7968,82.0,5.0,N,0.0
YND,Gatineau,Canada,45.5217,-75.5636,211.0,-5.0,A,0.0
YOW,Ottawa,Canada,45.3225,-75.6692,374.0,-5.0,A,0.0
WNZ,Wenzhou,China,27.9122,120.852,0.0,8.0,U,0.0
